商区名称,评论总和,评论平均数,商铺总和,经度,纬度
华强北,212229.0,378.98035714285714,560,114.0857310946428,22.546372380357198
皇岗,75677.0,157.00622406639005,482,114.0655186970954,22.527362543568486
梅林,125307.0,223.36363636363637,561,114.0543702602493,22.566714121212126
荔枝公园片区,55565.0,171.4969135802469,324,114.10393275925925,22.54335330864198
市中心区,483952.0,739.9877675840978,654,114.05793464678878,22.536592050458747
沙头,17465.0,71.8724279835391,243,114.03601531687251,22.531248884773678
香蜜湖,127439.0,277.6448801742919,459,114.02574088017441,22.544098941176475
华强南,56874.0,165.33139534883722,344,114.08482253488373,22.537711421511645
车公庙,168251.0,319.8688212927757,526,114.02500846387842,22.535186005703395
新洲,41143.0,115.89577464788732,355,114.04753277464778,22.52731714929579
石厦,43977.0,123.53089887640449,356,114.0520358679776,22.522874991573048
福田保税区,7389.0,28.41923076923077,260,114.05197481923089,22.51545409615383
岗厦,41363.0,123.10416666666667,336,114.06714185714286,22.537465711309522
景田,62057.0,166.81989247311827,372,114.04428407795696,22.550889924731187
市民中心,73346.0,170.17633410672855,431,114.04318316937378,22.565357222737852
竹子林,18285.0,61.15384615384615,299,114.01319173244148,22.538964050167245
东门商业圈,154150.0,288.13084112149534,535,114.12007606355137,22.548572644859807
宝安南路沿线,181636.0,352.0077519379845,516,114.11069422286837,22.544585019379877
罗湖区政府,19835.0,66.11666666666666,300,114.13988981333341,22.556492330000008
翠竹路沿线,23551.0,86.5845588235294,272,114.12709333088236,22.566209334558835
火车站,59183.0,150.59287531806615,393,114.11708901526706,22.539071096692133
莲塘,13127.0,48.98134328358209,268,114.16733508208956,22.565366611940288
国贸,181521.0,404.2783964365256,449,114.11418901113589,22.541354982182696
笋岗,17362.0,61.13380281690141,284,114.10679917605634,22.56420114084505
布心,5444.0,17.84918032786885,305,114.13663840655741,22.578848655737694
文锦渡,26153.0,110.8177966101695,236,114.12419211016956,22.54460112711863
黄贝岭,15238.0,49.31391585760518,309,114.13532492233011,22.55302302912622
田贝,2738.0,6.845,400,114.1258374350002,22.56477503750001
水贝,3896.0,9.018518518518519,432,114.12415379398129,22.5714882962963
水库,50206.0,139.84958217270196,359,114.13842206406682,22.566856991643498
草埔,5089.0,15.65846153846154,325,114.11654479999997,22.58498589538462
万象城,3427.0,61.19642857142857,56,114.11130796428571,22.539873964285707
梧桐山,3000.0,6.8807339449541285,436,114.1775918256881,22.59701400688076
欢乐海岸,99584.0,228.40366972477065,436,113.99699705504598,22.5293126513762
桃园,90932.0,237.42036553524804,383,113.92512515404698,22.53267432114882
蛇口,192247.0,336.6847635726795,571,113.92668655866896,22.49427165148862
华侨城,157861.0,341.6904761904762,462,113.98698593939405,22.538847322510826
南头,132815.0,258.89863547758284,513,113.9226311189084,22.534146128654953
南油,117996.0,221.38086303939963,533,113.92641614821754,22.51857372420263
科技园,126914.0,232.44322344322345,546,113.95651707875471,22.546181648351645
西丽,66396.0,139.19496855345912,477,113.95582112997904,22.58031835639412
南山中心区,95654.0,215.9232505643341,443,113.93650268623023,22.520705415349894
前海,47800.0,142.6865671641791,335,113.91240064776107,22.525727149253733
白石洲,74575.0,191.7095115681234,389,113.96876245244222,22.538527827763467
益田假日,92026.0,360.8862745098039,255,113.97754902352935,22.53912224705878
海岸城,256382.0,513.7915831663327,499,113.93832935671306,22.517571883767538
深圳湾,8246.0,22.048128342245988,374,113.945630828877,22.500494812834237
龙井,1688.0,33.09803921568628,51,113.99784678431372,22.56844296078431
大小梅沙,27938.0,87.57993730407523,319,114.30545736363644,22.599835836990582
沙头角,11475.0,41.42599277978339,277,114.23172829241877,22.554295610108294
盐田,6964.0,25.602941176470587,272,114.26456104044115,22.588050948529425
壹海城,12353.0,143.63953488372093,86,114.23923611627903,22.55559944186046
宝体,20332.0,56.16574585635359,362,113.88218263535907,22.56319651104973
上川自由路,3101.0,7.508474576271187,413,113.88796097820821,22.57067152300243
翻身,12582.0,33.552,375,113.90033157066674,22.564605216000007
海雅缤纷城,80898.0,283.85263157894735,285,113.90854362105287,22.5621922631579
天虹汇一城,32319.0,101.63207547169812,318,113.86365338679273,22.57677461320755
时代城,14579.0,50.09965635738832,291,113.87327958762872,22.57620748453606
港隆城,10146.0,52.03076923076923,195,113.88259927179477,22.58119020000002
共乐城,1127.0,2.867684478371501,393,113.86845513231547,22.586540010178112
宝立方,5545.0,14.82620320855615,374,113.89221198395714,22.581747077540093
壹乐会,81.0,5.4,15,113.89138746666669,22.584814666666666
七巧国,4742.0,31.19736842105263,152,113.85917745394744,22.56909725657896
宝安国际机场,13341.0,46.810526315789474,285,113.83759387368409,22.632915400000034
宝安中心区,92719.0,217.65023474178403,426,113.89075923943675,22.557271136150277
宝安其他,2777.0,6.4581395348837205,430,113.88180262093039,22.743006953488358
光明,3651.0,10.002739726027396,365,113.9452265068493,22.747405276712325
福永,18177.0,51.78632478632478,351,113.82390657549861,22.676655905982887
沙井,32107.0,82.96382428940568,387,113.83175903100783,22.709131976744164
松岗,7022.0,24.98932384341637,281,113.8532004733097,22.76007028469752
公明,7478.0,24.598684210526315,304,113.90478096052627,22.768874187500003
石岩,9565.0,34.160714285714285,280,113.94343398928577,22.676209285714286
西乡,85959.0,169.54437869822485,507,113.87486987179489,22.57753622879684
新安,58638.0,121.65560165975104,482,113.90544828630705,22.568218719917017
固戍桃源居,6445.0,32.225,200,113.85844164999997,22.612016404999995
布吉,66945.0,128.98843930635837,519,114.12423909441223,22.610151314065533
龙岗中心区,75394.0,160.41276595744682,470,114.23527837021275,22.712323897872338
龙岗其他,9385.0,29.420062695924766,319,114.24657500000004,22.6998451661442
平湖,9659.0,32.965870307167236,293,114.13198278498307,22.68497735494881
横岗,21664.0,65.45015105740181,331,114.19719555891245,22.649803685800595
大鹏,14184.0,30.503225806451614,465,114.47293333763442,22.595523572043
南澳,5904.0,19.745819397993312,299,114.47537945819396,22.547105230769237
坂田,38880.0,94.36893203883496,412,114.06348513106806,22.629081228155354
坪地,994.0,2.940828402366864,338,114.29551971893483,22.76225962426035
大运,14646.0,57.88932806324111,253,114.22090088932815,22.696134359683807
求水山度假区,7509.0,26.913978494623656,279,114.1379307096774,22.60681509318997
华为坂田基地,745.0,8.186813186813186,91,114.06216383516487,22.651797450549445
西涌,1228.0,5.531531531531532,222,114.51054647297279,22.500169914414453
东涌,242.0,6.05,40,114.52442797499998,22.517556850000005
李朗聚星商城,4315.0,12.728613569321533,339,114.12078257227134,22.650695353982286
深圳火车北站,17917.0,45.359493670886074,395,114.03118301265812,22.611497564556938
龙华,68235.0,134.05697445972496,509,114.03019103929273,22.648942049115913
观澜,20568.0,62.516717325227965,329,114.06049798176291,22.710076510638313
民治,160261.0,290.85480943738656,551,114.0337775952813,22.620168310344816
大浪,8654.0,32.291044776119406,268,113.9983553619403,22.67543030223881
梅林关,17480.0,65.71428571428571,266,114.0459394548873,22.60192685714287
清湖地铁站,3676.0,13.367272727272727,275,114.03273160363638,22.66118727272728
龙华新区,1806.0,3.3947368421052633,532,113.99363095300754,22.636606129699253
坪山,10856.0,32.69879518072289,332,114.32559470180718,22.687707969879504
