商区名称,评论总和,评论平均数,商铺总和,经度,纬度
建外大街,239865.0,323.2681940700809,742,116.4528025242586,39.909042897574096
大望路,437534.0,606.8432732316228,721,116.47670928571411,39.90428087239956
朝外大街,533455.0,726.7779291553134,734,116.44738307765657,39.92063419209806
左家庄,135295.0,184.0748299319728,735,116.44171779047662,39.95990811428567
亚运村,528175.0,725.5151098901099,728,116.40798316895616,39.996156458791134
望京,647877.0,866.1457219251337,748,116.47372302807484,39.99502940508028
安贞,168595.0,233.51108033240996,722,116.41106591689747,39.97214462049865
朝阳其它,66171.0,90.02857142857142,735,116.50399050748308,39.92518959047612
芍药居,142255.0,193.54421768707482,735,116.42945764625861,39.97895206122438
国贸,508837.0,683.9206989247311,744,116.45998899462344,39.90976800268815
双井,407554.0,555.2506811989101,734,116.4650134277929,39.89485577111714
三里屯,773567.0,1035.5649263721552,747,116.45332722623824,39.934690787148625
对外经贸,141238.0,193.21203830369356,731,116.42785546374836,39.980503515731826
酒仙桥,276734.0,384.35277777777776,720,116.4892777347222,39.97300970972218
管庄,96124.0,131.49658002735978,731,116.58559072366631,39.91704169493846
首都机场,83063.0,109.72655217965654,757,116.59227327344779,40.05480139630122
十八里店,43967.0,59.41486486486487,740,116.48990691621631,39.85484612567568
北苑家园,142812.0,195.90123456790124,729,116.42351232235946,40.03548193552816
十里堡,151829.0,207.41666666666666,732,116.51218775546464,39.93612997677592
东坝,51665.0,70.48431105047749,733,116.5506975579807,39.95602593860845
孙河,7157.0,9.926490984743412,721,116.53624611234386,40.03508140915402
马泉营,29023.0,39.009408602150536,744,116.50708231451624,40.03352189247326
定福庄,31026.0,41.92702702702703,740,116.5531386094595,39.91533647432437
四惠,44171.0,59.85230352303523,738,116.51145874254753,39.9237265691057
太阳宫,236098.0,322.9794801641587,731,116.44300705061538,39.970999610123
青年路,422571.0,587.7204450625869,719,116.51978065785812,39.92664677885944
石佛营,35564.0,48.255088195386705,737,116.49850705427414,39.93965506648581
甜水园,22114.0,55.702770780856426,397,116.4816891410581,39.925233657430766
工人体育场,223813.0,422.288679245283,530,116.44716458679254,39.9320772886793
百子湾,140234.0,192.1013698630137,730,116.48844234246556,39.89768200410968
双桥,40604.0,54.575268817204304,744,116.57518252553776,39.908599901881544
北京欢乐谷,61736.0,83.2021563342318,742,116.50510516037713,39.868180770889445
高碑店,38129.0,51.80570652173913,736,116.52477101358713,39.91248038451079
北京东站,4068.0,13.651006711409396,298,116.47909863087247,39.899879352349004
霄云路,33952.0,96.45454545454545,352,116.46518566193184,39.95889449147727
蓝色港湾,205675.0,676.5625,304,116.47261546052682,39.948746509868535
姚家园,27580.0,38.04137931034483,725,116.50746570758643,39.939846139310255
十里河,34716.0,46.72409152086137,743,116.4651640726782,39.86546331628538
立水桥,26857.0,36.44097693351425,737,116.41049886702834,40.0483950569878
小营,96010.0,128.69973190348526,746,116.42415002412862,39.994864509383355
北沙滩,30843.0,42.020435967302454,734,116.36964551362381,40.00677739373305
大屯,34165.0,93.09264305177112,367,116.410567373297,40.004278217983625
常营,254629.0,349.7651098901099,728,116.59160877884648,39.92529114423084
草房,10247.0,14.172890733056708,723,116.60602245089913,39.92652568603043
朝阳公园,19410.0,194.1,100,116.47999286999998,39.94233872000004
世贸天阶,28926.0,87.38972809667673,331,116.45283804833832,39.92167251359515
东大桥,25054.0,63.75063613231552,393,116.45308709923668,39.92349382188297
小红门,1476.0,8.434285714285714,175,116.46282276571422,39.833823417142874
广渠门外,2238.0,17.215384615384615,130,116.44797173076917,39.89344146153847
东四,171857.0,238.0290858725762,722,116.41861015373951,39.93222493074795
安定门,160628.0,219.7373461012312,731,116.40707951025999,39.9504503187414
朝阳门,108289.0,145.94204851752022,742,116.43099823450159,39.9223259595687
东直门,404709.0,554.3958904109589,730,116.43545383561639,39.944194538356186
广渠门内,52437.0,71.14925373134328,737,116.43826813432847,39.89356470013566
左安门,19016.0,25.97814207650273,732,116.43876625956285,39.8780975081967
沙子口,28164.0,38.31836734693878,735,116.40285334285696,39.86948844489796
前门,335595.0,448.0574098798398,749,116.39881414686243,39.89744958878501
崇文门,497599.0,665.2393048128342,748,116.41888541978629,39.89796024465246
天坛,83534.0,114.27359781121751,731,116.42130677701785,39.88697774965792
和平里,101356.0,137.71195652173913,736,116.42222975135908,39.959789052989116
东四十条,83220.0,115.26315789473684,722,116.430708443213,39.93500882271461
西单,687547.0,926.6132075471698,742,116.3737999892183,39.91192137062005
复兴门,264754.0,363.1742112482853,729,116.35719483950619,39.91120934430724
阜成门,120611.0,164.09659863945578,735,116.35419283265311,39.92552142585027
新街口,161375.0,219.85694822888283,734,116.37366941825609,39.943042235694875
地安门,212956.0,284.3204272363151,749,116.39825355941248,39.93884260747662
牛街,93652.0,128.8198074277854,727,116.36279952132068,39.887387753782754
虎坊桥,78697.0,106.78018995929443,737,116.3884455454544,39.88989548168252
菜市口,29429.0,39.50201342281879,745,116.37534953557024,39.88397979463092
广内大街,52630.0,71.41112618724559,737,116.36002782089562,39.89105799728626
广外大街,109463.0,148.1231393775372,739,116.337579142084,39.88872230311231
宣武门,90913.0,123.52309782608695,736,116.37663630163043,39.899106326086844
右安门,72932.0,96.59867549668874,755,116.36466570066229,39.87581327152315
西四,88094.0,120.34699453551913,732,116.37439314480883,39.92453486612021
月坛,86813.0,117.31486486486486,740,116.3472220324322,39.91653265135151
什刹海,224966.0,304.41948579161027,739,116.38842456427582,39.94296970500683
德外大街,82699.0,112.82264665757162,733,116.3853015293316,39.960848740791235
陶然亭,38406.0,66.10327022375215,581,116.38214807228916,39.880733151463005
中关村,695390.0,933.4093959731543,745,116.31751179999995,39.98007935033548
五道口,600473.0,818.08310626703,734,116.34199684196176,39.992957728882786
魏公村,184097.0,254.27762430939225,724,116.32280228314906,39.955309466850856
北太平庄,332251.0,455.13835616438354,730,116.36974067808193,39.97105436301371
苏州桥,196977.0,267.2686567164179,737,116.30748372862968,39.97041770284941
北下关,165538.0,226.1448087431694,732,116.34659597814182,39.95409075136611
紫竹桥,169906.0,230.2249322493225,738,116.3073689349593,39.94193666937667
航天桥,133982.0,184.29436038514442,727,116.31360935900977,39.92770561898215
上地,143153.0,198.27285318559558,722,116.30170681994468,40.037404313019394
颐和园,101378.0,139.06447187928669,729,116.29120900274361,40.00227510699589
海淀其它,58549.0,79.33468834688347,738,116.23776239701903,40.039963928184314
田村,27270.0,37.35616438356164,730,116.25105299452045,39.93407908219177
双榆树,193223.0,261.81978319783195,738,116.32662470460706,39.96886268021683
五棵松,339004.0,453.8206157965194,747,116.27779625568934,39.913494165997406
清河,196298.0,268.1666666666667,732,116.34270358469942,40.03266075683064
远大路,253740.0,349.9862068965517,725,116.2885005613794,39.9581780386207
香山,43922.0,59.51490514905149,738,116.21408058536576,39.99198647154476
大钟寺,39071.0,52.94173441734417,738,116.3440979146341,39.96618823712721
知春路,78042.0,104.75436241610738,745,116.34432334228184,39.97469530335576
西三旗,35303.0,47.706756756756754,740,116.34391033108112,40.05770078108105
四季青,59682.0,80.5425101214575,741,116.27796346558712,39.94673535627531
人民大学,102546.0,137.83064516129033,744,116.31916819892488,39.966361243279636
万柳,101167.0,136.89715832205684,739,116.30449093369442,39.97099485250365
学院桥,26817.0,43.96229508196721,610,116.3560428311474,39.9879613803279
军博,26742.0,54.91170431211499,487,116.32847545790555,39.90572676386043
农业大学西区,19087.0,25.65456989247312,744,116.28226459274197,40.025973786290386
甘家口百货,474.0,1.9268292682926829,246,116.33304233739831,39.92779662601628
方庄,238632.0,328.6942148760331,726,116.43220177410458,39.861846976584026
丰台其它,75006.0,101.49661705006766,739,116.33246614614352,39.831802737483066
宋家庄,51765.0,70.52452316076294,734,116.42800900136214,39.84769810899189
北大地,24697.0,33.419485791610285,739,116.29012948849795,39.85828410554797
刘家窑,65409.0,88.27125506072875,741,116.4212178488529,39.85539421592445
青塔,83757.0,113.64586160108549,737,116.26943475440962,39.89009366214385
开阳里,64532.0,88.1584699453552,732,116.36528963114742,39.86731764754102
草桥,95956.0,129.4952766531714,741,116.36273706342764,39.85048814035087
看丹桥,48557.0,65.1771812080537,745,116.29654917449662,39.8414566362417
花乡,65390.0,198.15151515151516,330,116.31596589090934,39.82869901212135
大红门,49603.0,67.6712141882674,733,116.40094377353337,39.83832480491135
公益西桥,50913.0,68.98780487804878,738,116.36685181707317,39.8431365338753
云岗,29646.0,39.95417789757413,742,116.17819464824797,39.81679540835578
卢沟桥,14391.0,19.9875,720,116.2393847402779,39.85505040277775
总部基地,73428.0,100.17462482946794,733,116.30593721555218,39.84733256753077
石榴庄,4466.0,14.360128617363344,311,116.41863988102874,39.846408517684935
槐房万达广场,22782.0,30.828146143437078,739,116.3480980893094,39.82697574018963
苹果园,99528.0,135.22826086956522,736,116.19486064130439,39.928455394021725
鲁谷,205944.0,284.45303867403317,724,116.23333926519335,39.90405463121553
石景山其它,28345.0,38.82876712328767,730,116.18575594657528,39.925321113698665
模式口,16516.0,22.37940379403794,738,116.16632213143626,39.92733205691043
亦庄,245378.0,335.2158469945355,732,116.49885148633885,39.800187706284085
旧宫,81745.0,111.67349726775956,732,116.445925159836,39.81063090163935
黄村,144018.0,196.4774897680764,733,116.3349435729877,39.74676778854025
西红门,287139.0,397.6994459833795,722,116.33376572022124,39.787985745152625
庞各庄,2133.0,2.958391123439667,721,116.33473046601952,39.65589486130385
龙湖天街购物中心,31626.0,42.97010869565217,736,116.32962447690252,39.69705666983699
天宫院,11142.0,25.094594594594593,444,116.34049461036034,39.7336568310811
宋庄,17530.0,23.85034013605442,735,116.7109057632654,39.947870872108815
西集,1547.0,4.333333333333333,357,116.86553150420151,39.814057014005634
物资学院,14166.0,19.09164420485175,742,116.62352149595688,39.926053433962295
果园,50006.0,67.9429347826087,736,116.63775469293482,39.89292727581524
梨园,90358.0,124.46005509641873,726,116.66788987327813,39.880240917355366
新华大街,113518.0,158.76643356643356,715,116.58248242937088,39.91355204195805
九棵树,73637.0,100.18639455782314,735,116.64990579863917,39.88712761496586
通州北苑,89215.0,122.37997256515774,729,116.58868368587109,39.90483562002739
武夷花园,24330.0,32.65771812080537,745,116.66765820939598,39.90880921744965
马驹桥,20003.0,27.104336043360433,738,116.54630354336065,39.76460657046065
次渠,3179.0,4.36076817558299,729,116.5791991810702,39.81475908367616
北关,1692.0,5.774744027303754,293,116.63342967918086,39.93377701706488
土桥,11720.0,15.880758807588077,738,116.69483457723568,39.860496926829214
回龙观,204534.0,277.8994565217391,736,116.33105660597842,40.06871609918466
天通苑,161233.0,220.56497948016417,731,116.4154590861832,40.06509565253082
昌平镇,152343.0,208.11885245901638,732,116.25555323770493,40.20505252049177
小汤山,38321.0,51.92547425474255,738,116.40494239159868,40.168838661246554
南口镇,7723.0,10.637741046831955,726,116.15727217768587,40.20476843388424
北七家,23996.0,32.87123287671233,730,116.41367236712318,40.10676827260265
沙河,20071.0,27.646005509641874,726,116.29722465977942,40.13274588705236
明十三陵,4245.0,12.942073170731707,328,116.21594691768294,40.33072986280488
居庸关长城,888.0,28.64516129032258,31,116.11919961290323,40.24053825806451
十三陵水库,6070.0,8.326474622770919,729,116.23869980384113,40.27247393141279
长阳镇,56476.0,78.33009708737865,721,116.22345375312048,39.76997811095699
城关镇,12126.0,16.88857938718663,718,116.04699394986072,39.743832807799464
窦店镇,6023.0,8.139189189189189,740,116.08062864864883,39.66883948648641
阎村镇,1607.0,2.2826704545454546,704,116.09741728977298,39.733840828124904
燕山,2307.0,3.1473396998635743,733,115.97458218553905,39.74617710641197
河北镇,1936.0,6.205128205128205,312,116.04787907371788,39.84656875320517
十渡镇,11659.0,15.79810298102981,738,115.61757163143632,39.65225461517621
青龙湖镇,1831.0,3.167820069204152,578,116.06646464532874,39.79609257266431
良乡,73282.0,101.78055555555555,720,116.15193057499987,39.742923590277805
仙栖洞,233.0,12.263157894736842,19,115.74123573684213,39.63853194736841
上方山国家森林公园,2425.0,18.097014925373134,134,115.8811357313435,39.66998382089556
