商区名称,评论总和,评论平均数,商铺总和,经度,纬度
徐家汇,1088492.0,1513.8970792767732,719,121.43913281362983,31.19186803059807
万体馆,437787.0,710.6931818181819,616,121.43942783441558,31.184342467532428
衡山路,147019.0,359.4596577017115,409,121.44621983618589,31.203229466992646
肇嘉浜路沿线,294274.0,497.92554991539765,591,121.45649802368847,31.198964087986433
音乐学院,446229.0,733.9292763157895,608,121.45436060032901,31.2118285131579
龙华,218424.0,403.7412199630314,541,121.4552721053605,31.181775478743074
上海南站,132166.0,254.16538461538462,520,121.43256844230767,31.14240538076926
光启城,189884.0,434.51716247139586,437,121.42719617848955,31.18417393135014
南京西路,815842.0,1142.6358543417366,714,121.4564573935571,31.228746806722707
静安寺,999941.0,1386.880721220527,721,121.44736127600534,31.22444798613038
曹家渡,207551.0,468.51241534988714,443,121.43049839954858,31.22936252144473
同乐坊,121057.0,264.3165938864629,458,121.44411877074232,31.235577722707408
火车站,190200.0,324.0204429301533,587,121.45673991141413,31.247857819420744
大宁地区,525767.0,799.0379939209727,658,121.44591141945273,31.2794918449848
彭浦新村,118212.0,250.44915254237287,472,121.45164208262715,31.30984144915257
闸北公园,250612.0,589.675294117647,425,121.45998970352939,31.26936302588237
北区汽车站,24734.0,72.32163742690058,342,121.46094090350867,31.2616339853801
大悦城,316112.0,678.3519313304721,466,121.47057215450636,31.243930695278934
彭浦镇,33480.0,110.4950495049505,303,121.4249825676568,31.29163822772276
虹桥,502144.0,757.3815987933635,663,121.40046163197573,31.200733954751097
天山,613564.0,897.0233918128655,684,121.3998533640351,31.210914960526303
古北,189612.0,368.89494163424126,514,121.39961922568104,31.195886165369682
中山公园,874166.0,1232.9562764456982,709,121.42049429901269,31.217067022566937
北新泾,160007.0,294.6721915285451,543,121.36713443093916,31.21423104419887
仲盛商业中心,141652.0,795.7977528089888,178,121.38763202247179,31.107737719101127
龙盛国际商业广场,23579.0,222.4433962264151,106,121.40173543396222,31.087971169811333
虹桥镇,448515.0,695.3720930232558,645,121.37785402635652,31.173593364341034
虹梅路,70451.0,171.41362530413625,411,121.39082153527983,31.176170360097338
七宝,359372.0,553.7318952234207,649,121.35464489830498,31.153268342064703
莘庄,393236.0,609.6682170542636,645,121.37997092093012,31.111182035658928
南方商城,290731.0,517.314946619217,562,121.40038473309602,31.13306804448398
春申地区,53820.0,147.04918032786884,366,121.4084718579234,31.10339866666668
老闵行,93942.0,190.9390243902439,492,121.41341886178867,31.014960331300824
龙柏地区,226993.0,431.54562737642584,526,121.37240758365007,31.175918851710993
莘庄龙之梦,121705.0,611.5829145728643,199,121.3788243115577,31.108189663316583
